"","student_id","subject","semester","section","total_points_possible","total_points_earned","proportion_earned","gender","enrollment_reason","enrollment_status","time_spent","time_spent_hours","course_id","int","val","percomp","tv","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","date_x","post_int","post_uv","post_tv","post_percomp","date_y","date"
"1",43146,"FrScA","S216",2,1217,1150,0.944946589975349,"F","Course Unavailable at Local School","Approved/Enrolled",1555.1667,25.919445,"FrScA-S216-02",4.2,3.66666666666667,4,3.85714285714286,4,4,4,5,4,4,4,4,3,4,"2016-02-02T18:44:00Z",NA,NA,NA,NA,NA,NA
"2",44638,"OcnA","S116",1,1676,1384.23,0.825912887828162,"M","Course Unavailable at Local School","Approved/Enrolled",1382.7001,23.0450016666667,"OcnA-S116-01",4,3,3,3.57142857142857,4,2,2,4,4,4,4,4,3,4,"2015-09-09T13:41:00Z",NA,NA,NA,NA,NA,NA
"3",47448,"FrScA","S216",1,1232,1116,0.905844155844156,"F","Other","Approved/Enrolled",860.4335,14.3405583333333,"FrScA-S216-01",4.2,3,3,3.71428571428571,5,3,3,4,4,3,3,4,3,4,"2016-01-28T14:01:00Z",NA,NA,NA,NA,NA,NA
"4",47979,"OcnA","S216",1,1833,1492.73,0.814364429896345,"M","Course Unavailable at Local School","Approved/Enrolled",1598.6166,26.64361,"OcnA-S216-01",4,3.66666666666667,2.5,3.85714285714286,4,3,2,4,4,4,3,4,4,4,"2016-01-27T13:04:00Z",NA,NA,NA,NA,NA,NA
"5",48797,"PhysA","S116",1,2225,1994.75,0.896516853932584,"M","Learning Preference of the Student","Approved/Enrolled",1481.8,24.6966666666667,"PhysA-S116-01",3.8,3.66666666666667,3.5,3.71428571428571,4,4,3,4,4,4,4,4,3,3,"2015-09-14T16:01:00Z",NA,NA,NA,NA,NA,NA
"6",51943,"FrScA","S216",3,1222,70,0.0572831423895254,"M","Learning Preference of the Student","Withdrawn",3.4501,0.0575016666666667,"FrScA-S216-03",3.8,3.66666666666667,3.5,3.71428571428571,4,4,3,4,3,3,4,4,4,4,"2016-02-17T19:30:00Z",NA,NA,NA,NA,NA,NA
"7",52326,"AnPhA","S216",1,1775,1518.50999,0.855498585915493,"F","Other","Approved/Enrolled",1321.8164,22.0302733333333,"AnPhA-S216-01",3.6,4,3,4,4,4,4,2,4,4,2,4,4,4,"2016-02-09T16:43:00Z",NA,NA,NA,NA,NA,NA
"8",52446,"PhysA","S116",1,2225,2198,0.987865168539326,"F","Learning Preference of the Student","Approved/Enrolled",1390.2167,23.1702783333333,"PhysA-S116-01",4.2,3.66666666666667,3,4,4,4,3,4,4,4,3,5,3,4,"2015-09-19T21:36:00Z",3.5,3.66666666666667,3.57142857142857,3.5,"2016-01-02T00:41:00Z",NA
"9",53447,"FrScA","S116",1,1212,1173,0.967821782178218,"F","Course Unavailable at Local School","Approved/Enrolled",1479.4166,24.6569433333333,"FrScA-S116-01",3.8,2,3,3,5,2,3,4,4,2,3,4,2,2,"2015-09-22T18:06:00Z",3.75,2,3,3,"2015-10-13T14:11:00Z",NA
"10",53475,"FrScA","S116",2,1212,0,0,"F","Course Unavailable at Local School","Dropped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",53475,"FrScA","S216",1,1232,1014,0.823051948051948,"F","Course Unavailable at Local School","Approved/Enrolled",1867.4169,31.123615,"FrScA-S216-01",4.8,3.33333333333333,4,4.14285714285714,5,4,4,5,5,3,4,5,3,4,"2016-02-02T15:14:00Z",NA,NA,NA,NA,NA,NA
"12",54066,"OcnA","S116",1,1676,1594.73,0.951509546539379,"F","Other","Approved/Enrolled",2625.5164,43.7586066666667,"OcnA-S116-01",4.6,4.66666666666667,4,4.71428571428571,4,5,4,4,5,5,4,5,4,5,"2015-09-09T14:10:00Z",5,4.66666666666667,4.85714285714286,4,"2015-09-14T14:18:00Z",NA
"13",54282,"OcnA","S116",2,1676,1586.65,0.946688544152745,"F","Course Unavailable at Local School","Approved/Enrolled",2025.1672,33.7527866666667,"OcnA-S116-02",3.4,2,3.5,2.71428571428571,3,1,3,4,4,3,4,3,2,3,"2015-09-10T11:54:00Z",NA,NA,NA,NA,NA,NA
"14",54342,"OcnA","S116",2,1676,1244.45,0.742511933174224,"F","Learning Preference of the Student","Approved/Enrolled",1581.0831,26.351385,"OcnA-S116-02",4,3,3.5,3.57142857142857,4,3,3,4,4,3,4,4,3,4,"2015-09-09T13:16:00Z",NA,NA,NA,NA,NA,NA
"15",54346,"OcnA","S116",1,1676,902.07,0.538227923627685,"F","Course Unavailable at Local School","Approved/Enrolled",1191.3836,19.8563933333333,"OcnA-S116-01",4.4,2,3,3.28571428571429,4,2,2,5,5,3,4,5,1,3,"2015-09-09T14:41:00Z",4,2.66666666666667,3.42857142857143,3.5,"2016-01-06T00:01:00Z",NA
