student_id,course_id,n,cogproc,male,female,friend,family,social,sad,anger,anx,negemo,posemo,affect,quant,number,interrog,compare,adj,verb,negate,conj,adverb,auxverb,prep,article,ipron,they,shehe,you,we,i,ppron,pronoun,function,Dic,Sixltr,WPS,Tone,Authentic,Clout,Analytic,WC
43146,FrScA-S216-02,38,15.06973684,0.512105263,0.166578947,0,0.006052632,6.200526316,0.180789474,0.418684211,0.08,1.136315789,3.555526316,4.756052632,2.046842105,0.913157895,1.285789474,2.421315789,5.106842105,18.11368421,1.206052632,5.565526316,6.243421053,11.29842105,12.30157895,7.828947368,6.936315789,1.010263158,0.543421053,1.744210526,0.065789474,3.646578947,7.01,13.98868421,55.15447368,86.27894737,20.89315789,17.41394737,56.62394737,44.13078947,49.52078947,55.70315789,88.31578947
44638,OcnA-S116-01,3,7.106666667,0,0,0,0,6.14,0,0,0,0,19.01,19.01,2.743333333,3.473333333,0.443333333,4.146666667,5.48,11.02333333,0,6.66,6.66,9.246666667,11.85,2.223333333,2.743333333,0,0,3.473333333,0,7.993333333,11.47,14.20666667,44.63,86.31,22.20333333,9.833333333,96.38,70.25333333,53.58333333,56.04,34.66666667
47448,FrScA-S216-01,41,15.16585366,0.111219512,0.152195122,0.012682927,0.084878049,5.052926829,0.09097561,0.14097561,0.275365854,1.418780488,2.906097561,4.330731707,3.245365854,2.306585366,1.786829268,3.902195122,5.614390244,16.34365854,1.68097561,5.370243902,5.824878049,10.22634146,12.13292683,6.767804878,5.145121951,0.843414634,0.169512195,1.148780488,0.033170732,4.689268293,6.882926829,12.02756098,49.40292683,80.72219512,20.80780488,17.92243902,49.41609756,41.22365854,40.1102439,58.98097561,69.34146341
47979,OcnA-S216-01,10,14.508,0,0,0,0,6.133,0,0.108,0.788,1.152,5.591,6.743,3.214,0.257,1.103,2.699,5.213,16.311,1.13,6.203,5.314,8.89,13.626,9.119,4.335,1.863,0,2.049,0.302,3.449,7.662,12.219,53.127,86.497,21.802,18.824,78.369,49.038,53.088,69.957,61.2
48797,PhysA-S116-01,10,16.692,0,0.426,0,0,7.534,0.435,0.106,0.545,1.282,3.794,5.075,2.551,0.213,1.715,3.944,4.618,17.117,0.748,7.244,6.492,9.494,12.819,9.83,7.841,0.098,0.426,2.623,0.491,3.142,6.779,14.619,57.509,90.487,15.306,15.66,55.384,42.25,54.085,55.82,47.1
51943,FrScA-S216-03,2,11.985,0.545,0,0.66,0,6.895,0,0,0,0,4.92,4.92,1.085,0,2.4,1.085,3.805,17.905,0.66,6.435,5.345,11.355,14.19,5.665,4.49,2.52,0,0,0,7.005,9.525,14.015,55.375,82.98,24.97,16.8,91.33,34.125,39.96,54.5,84
52326,AnPhA-S216-01,21,14.92857143,0.024285714,0,0.024285714,0.010952381,7.368095238,0,0.15047619,0.211904762,0.561904762,5.686666667,6.248571429,1.918571429,1.507619048,1.729047619,2.241904762,4.79,16.34047619,0.683809524,7.577619048,6.856666667,9.706666667,10.72809524,7.006666667,7.777142857,0.429047619,0,3.273809524,0.536666667,5.09952381,9.34047619,17.11666667,55.24380952,87.33904762,16.2552381,13.54142857,59.40904762,39.87666667,55.51761905,41.77238095,80.52380952
52446,PhysA-S116-01,18,15.12111111,0.397222222,0.303333333,0.043333333,0.057777778,5.693333333,0.103333333,0.037222222,0,0.419444444,5.143888889,5.683888889,2.595,1.830555556,2.246111111,3.768888889,4.555,17.95888889,0.897222222,5.168333333,7.25,8.723333333,14.60388889,7.662222222,5.301111111,0.086666667,0.642777778,1.810555556,0.232777778,3.829444444,6.601666667,11.90388889,51.71388889,83.29222222,20.46888889,16.74722222,78.74444444,35.08666667,52.46888889,70.39222222,59.16666667
53447,FrScA-S116-01,31,18.22870968,0.22,0.116129032,0,0.061935484,4.918064516,0.018709677,0.17,0.009354839,1.108709677,6.232580645,7.350967742,2.353225806,0.901935484,1.240967742,2.756451613,4.166129032,17.58741935,1.27483871,5.356774194,6.321290323,11.05193548,9.570322581,7.609032258,8.936774194,1.456451613,0.223548387,1.351935484,0.131612903,4.493225806,7.658709677,16.59516129,54.00741935,86.78258065,20.39516129,19.77451613,67.80677419,35.81967742,40.98,47.20741935,84.38709677
53475,FrScA-S116-02,37,15.71918919,0.248108108,0.308648649,0,0.147567568,5.651621622,0.027027027,0.044054054,0.17972973,0.517297297,8.482432432,9,2.188648649,2.865135135,1.947027027,2.811621622,8.037567568,16.51405405,1.630810811,6.8,6.371081081,9.424864865,9.348378378,6.534864865,4.499189189,0.963243243,0.275135135,1.329189189,0.027027027,5.281891892,7.875675676,12.37648649,46.30459459,85.27189189,20.45189189,15.37891892,77.46081081,50.84081081,42.42675676,50.84135135,49
